VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJYGDEE1L,King,Seattle,WA,98122.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,43990,37.0,125701579,POINT (-122.30839 47.610365),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.0
5YJSA1E4XK,King,Seattle,WA,98109.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,74990,36.0,156773144,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800.0
5YJSA1E27G,King,Issaquah,WA,98027.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,74990,5.0,165103011,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104.0
3FA6P0SU8H,Thurston,Yelm,WA,98597.0,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,2.0,122057736,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012532.0
1N4AZ0CP2D,Yakima,Yakima,WA,98903.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14.0,150126840,POINT (-120.477805 46.553505),PACIFICORP,53077003003.0
KNAGV4LD9J,Snohomish,Bothell,WA,98012.0,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,1.0,290605598,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052107.0
1N4AZ0CP8F,Kitsap,Port Orchard,WA,98366.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26.0,137322111,POINT (-122.639265 47.5373),PUGET SOUND ENERGY INC,53035092400.0
5UXTA6C03N,King,Auburn,WA,98001.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,47.0,240226332,POINT (-122.2849393 47.3384055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902.0
5YJYGDEEXL,King,Seattle,WA,98144.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,43990,37.0,113323024,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500.0
WBY8P8C53K,Kitsap,Bainbridge Island,WA,98110.0,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,23.0,228846642,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091002.0
WA1E2AFY4M,Snohomish,Lynnwood,WA,98036.0,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1.0,168371122,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913.0
1N4AZ0CP0F,King,Seattle,WA,98119.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36.0,126304132,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005901.0
1N4AZ0CP6D,King,Seattle,WA,98107.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,43.0,100938848,POINT (-122.37815 47.66866),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.0
1N4AZ0CP6D,Snohomish,Lynnwood,WA,98087.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,21.0,139800496,POINT (-122.2551991 47.8650827),PUGET SOUND ENERGY INC,53061042004.0
1N4BZ0CP3H,Snohomish,Bothell,WA,98021.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1.0,348979466,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937.0
5YJ3E1EB4L,King,Seattle,WA,98126.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,38990,34.0,121690915,POINT (-122.374105 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900.0
5YJ3E1EA5K,Yakima,Yakima,WA,98903.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,14.0,198205521,POINT (-120.477805 46.553505),PACIFICORP,53077002803.0
1N4BZ0CP4H,Thurston,Olympia,WA,98506.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,22.0,150612332,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067010300.0
WBY1Z4C51E,King,Renton,WA,98059.0,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,11.0,254498436,POINT (-122.15734 47.487175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025101.0
1FADP5CUXD,Yakima,Yakima,WA,98902.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14.0,132294879,POINT (-120.524012 46.5973939),PACIFICORP,53077001000.0
KNDCD3LD6J,King,Seattle,WA,98118.0,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,37.0,170260471,POINT (-122.28339 47.549285),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011101.0
JN1AZ0CP8C,Thurston,Tenino,WA,98589.0,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,20.0,131685669,POINT (-122.85403 46.856085),PUGET SOUND ENERGY INC,53067012620.0
1FADP5CU4G,Thurston,Olympia,WA,98501.0,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22.0,101841806,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700.0
1N4AZ1CP4J,Thurston,Olympia,WA,98501.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22.0,475432268,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700.0
WA1AAAGE4M,King,Seattle,WA,98108.0,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,0,37.0,156817314,POINT (-122.3268963 47.5499519),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401.0
5YJ3E1EBXL,King,Seattle,WA,98126.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,38990,34.0,4706670,POINT (-122.374105 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900.0
1N4AZ1CP1J,King,Seattle,WA,98108.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,37.0,180887143,POINT (-122.3268963 47.5499519),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401.0
KNDJX3AE9H,Thurston,Olympia,WA,98502.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,22.0,140569600,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002.0
WBY2Z2C54H,King,Seattle,WA,98121.0,2017,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,36.0,215133656,POINT (-122.344125 47.61546),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007201.0
1N4AZ1CP7J,Thurston,Olympia,WA,98501.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22.0,175343374,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010100.0
5UXKT0C38H,King,Seattle,WA,98115.0,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,46.0,313496655,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100.0
1N4AZ1CP0K,Thurston,Olympia,WA,98501.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22.0,347436820,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011721.0
WMEFJ9BA8H,Thurston,Olympia,WA,98502.0,2017,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,22.0,257247357,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002.0
1N4AZ0CP1D,King,Shoreline,WA,98155.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,32.0,221188747,POINT (-122.3175 47.7578146),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500.0
5YJ3E1EA5L,Thurston,Rochester,WA,98579.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,38990,20.0,128514494,POINT (-123.09575 46.82114),PUGET SOUND ENERGY INC,53067012730.0
WBY1Z4C54F,King,Seattle,WA,98144.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,37.0,257160480,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500.0
5YJ3E1EA1J,Snohomish,Bothell,WA,98021.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,1.0,476172749,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926.0
5YJ3E1EB7K,Thurston,Tenino,WA,98589.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,35.0,207105636,POINT (-122.85403 46.856085),PUGET SOUND ENERGY INC,53067012610.0
KNDRMDLH4P,Yakima,Yakima,WA,98908.0,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,14.0,245761666,POINT (-120.6027202 46.5965625),PACIFICORP,53077000401.0
5YJ3E1EA3J,Snohomish,Bothell,WA,98021.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,1.0,196800978,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926.0
KNDCC3LG6L,Thurston,Lacey,WA,98503.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22.0,152718450,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011626.0
WVWPP7AU9F,Island,Coupeville,WA,98239.0,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,10.0,161720065,POINT (-122.6880708 48.2179983),PUGET SOUND ENERGY INC,53029971100.0
1N4AZ0CP7D,King,Renton,WA,98056.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,11.0,163516972,POINT (-122.180505 47.500055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025500.0
KNDCC3LG8K,King,Renton,WA,98057.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,37.0,9956040,POINT (-122.21024 47.4797047),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025302.0
JTDKARFP8H,Yakima,Yakima,WA,98901.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15.0,186766996,POINT (-120.500225 46.6043),PACIFICORP,53077001602.0
5YJSA1E27J,Yakima,Yakima,WA,98908.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74990,14.0,261357134,POINT (-120.6027202 46.5965625),PACIFICORP,53077002900.0
5YJ3E1EB2L,Yakima,Yakima,WA,98908.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,38990,14.0,240088978,POINT (-120.6027202 46.5965625),PACIFICORP,53077000401.0
5YJ3E1EB4K,Thurston,Olympia,WA,98506.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,22.0,476733162,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067012100.0
1N4BZ1DP6L,Thurston,Olympia,WA,98516.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22.0,138560376,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012221.0
5UXTA6C06P,Snohomish,Bothell,WA,98012.0,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,21.0,219587889,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051927.0
2T3YL4DV2E,King,Pacific,WA,98047.0,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,30.0,231527859,POINT (-122.2509349 47.25013),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030902.0
1C4JJXP61M,Thurston,Tenino,WA,98589.0,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,35.0,182674320,POINT (-122.85403 46.856085),PUGET SOUND ENERGY INC,53067012610.0
5YJ3E1EA2H,Kitsap,Port Orchard,WA,98366.0,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,26.0,185626486,POINT (-122.639265 47.5373),PUGET SOUND ENERGY INC,53035092400.0
5YJYGDEE0L,Thurston,Lacey,WA,98513.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,43990,22.0,132930941,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067011623.0
5YJ3E1EB1J,Kitsap,Bainbridge Island,WA,98110.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,23.0,340704430,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035090700.0
KM8K23AGXL,Snohomish,Everett,WA,98208.0,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,44.0,9872516,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041607.0
5YJSA1E2XH,Yakima,Yakima,WA,98908.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,74990,14.0,262782089,POINT (-120.6027202 46.5965625),PACIFICORP,53077000401.0
KNDCE3LG6L,Yakima,Yakima,WA,98903.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,14.0,152747507,POINT (-120.477805 46.553505),PACIFICORP,53077002803.0
KNDCD3LD2J,Snohomish,Edmonds,WA,98020.0,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,21.0,474854215,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050501.0
JTDKARFP5K,Thurston,Olympia,WA,98501.0,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22.0,231185076,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010400.0
5UXTS1C01M,Thurston,Olympia,WA,98501.0,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,22.0,223772797,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010300.0
1N4BZ1CP3K,Thurston,Olympia,WA,98502.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22.0,109584044,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010600.0
KNDJX3AE5G,Snohomish,Edmonds,WA,98020.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,32.0,158961099,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050700.0
1N4BZ0CP5H,Chelan,Wenatchee,WA,98801.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,12.0,110066176,POINT (-120.32009 47.42255),PUD NO 1 OF CHELAN COUNTY,53007961102.0
5YJ3E1EB3K,Kitsap,Kingston,WA,98346.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,23.0,334167431,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090101.0
KNDCE3LG3K,Thurston,Olympia,WA,98502.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22.0,312765582,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011100.0
5YJXCBE22J,King,Seattle,WA,98101.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79990,43.0,474870861,POINT (-122.335345 47.61079),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008102.0
5YJ3E1EA2J,Snohomish,Mukilteo,WA,98275.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,21.0,336812472,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041301.0
5YJ3E1EB3K,King,Seattle,WA,98109.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,36.0,212077288,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007203.0
1N4BZ0CP3G,Snohomish,Everett,WA,98208.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44.0,121454259,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061052010.0
1FADP5CU1D,Skagit,Anacortes,WA,98221.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,10.0,176052712,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940302.0
5YJ3E1EBXK,Kitsap,Bremerton,WA,98311.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,23.0,477477969,POINT (-122.6466274 47.6341188),PUGET SOUND ENERGY INC,53035091701.0
3C3CFFGE1D,Snohomish,Edmonds,WA,98026.0,2013,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,21.0,203403784,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050101.0
1N4AZ1CP0L,Snohomish,Snohomish,WA,98296.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,1.0,132843623,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052112.0
JTMEB3FV0R,Spokane,Spokane,WA,99203.0,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,6.0,259789841,POINT (-117.425265 47.635365),MODERN ELECTRIC WATER COMPANY,53063004400.0
5YJ3E1EB5J,Snohomish,Edmonds,WA,98020.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,21.0,226146322,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050403.0
5YJ3E1EA0K,Island,Oak Harbor,WA,98277.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,10.0,180468144,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029970500.0
5YJ3E1EB8K,Snohomish,Snohomish,WA,98296.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,44.0,280295410,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052121.0
1N4AZ0CP3F,Skagit,Anacortes,WA,98221.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,40.0,234250684,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940301.0
1G1FW6S06H,Thurston,Rochester,WA,98579.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,20.0,186133,POINT (-123.09575 46.82114),PUGET SOUND ENERGY INC,53067012730.0
5YJ3E1EB1J,Walla Walla,Walla Walla,WA,99362.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,16.0,282296612,POINT (-118.34332 46.063985),PACIFICORP,53071920200.0
5UXTA6C00N,Snohomish,Snohomish,WA,98296.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1.0,180458386,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052122.0
1C4RJXN68R,Snohomish,Lynnwood,WA,98037.0,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,32.0,252678051,POINT (-122.297265 47.84182),PUGET SOUND ENERGY INC,53061051702.0
5YJYGDEE4L,Snohomish,Everett,WA,98208.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,43990,44.0,110880052,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041606.0
KNDCC3LG2K,Snohomish,Mill Creek,WA,98012.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44.0,244099110,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052004.0
5YJYGDEE5L,Grant,Moses Lake,WA,98837.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,43990,13.0,110643508,POINT (-119.2599876 47.1240154),PUD NO 2 OF GRANT COUNTY,53025011002.0
1C4JJXN69P,Grant,Ephrata,WA,98823.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,13.0,240642909,POINT (-119.55513 47.31936),PUD NO 2 OF GRANT COUNTY,53025010401.0
5YJSA1E26J,Snohomish,Lynnwood,WA,98036.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74990,1.0,293081484,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913.0
1N4AZ0CP5D,Snohomish,Monroe,WA,98272.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,39.0,170263488,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052204.0
1N4AZ0CP6D,Yakima,Yakima,WA,98908.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14.0,256187235,POINT (-120.6027202 46.5965625),PACIFICORP,53077002801.0
WBY2Z6C50K,Yakima,Yakima,WA,98901.0,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,15.0,211250833,POINT (-120.500225 46.6043),PACIFICORP,53077001601.0
5YJ3E1EA4L,Yakima,Moxee,WA,98936.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,38990,15.0,106947732,POINT (-120.3795117 46.55609),PACIFICORP,53077001702.0
1N4AZ0CP2G,Kitsap,Olalla,WA,98359.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26.0,225541921,POINT (-122.54483 47.41801),PUGET SOUND ENERGY INC,53035092802.0
WMEEJ9AAXG,Snohomish,Mill Creek,WA,98012.0,2016,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,44.0,253431384,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052008.0
5YJSA1E2XH,Stevens,Chewelah,WA,99109.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,74990,7.0,241186081,POINT (-117.722145 48.27719),AVISTA CORP,53065950800.0
KMHC85LJ6L,Thurston,Lacey,WA,98503.0,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170,0,22.0,259945773,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011300.0
5YJ3E1EA8K,Snohomish,Mukilteo,WA,98275.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38990,21.0,312509438,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041901.0
1G1FW6S02J,Spokane,Spokane,WA,99202.0,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,3.0,180528435,POINT (-117.383045 47.661935),MODERN ELECTRIC WATER COMPANY,53063003000.0
5YJ3E1EA0J,Thurston,Olympia,WA,98503.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38990,22.0,282440980,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011628.0
WVWKR7AU6K,Snohomish,Edmonds,WA,98020.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,21.0,477442514,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050502.0
1FMCU0LZ9N,Whitman,Pullman,WA,99163.0,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,9.0,200792707,POINT (-117.17912 46.730885),AVISTA CORP,53075000300.0
5YJ3E1EB5L,Snohomish,Monroe,WA,98272.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,38990,39.0,112761694,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052210.0
1G1FX6S07H,Snohomish,Snohomish,WA,98290.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44.0,122395535,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052401.0
